
Predictions were generated on 07-Jun-2025 at 13:19:56 using OpenFAST, compiled on Feb 19 2025 at 18:51:04 as a 64-bit application using single precision at commit unversioned
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: DTU 10.0 MW Wind Turbine with OO-Star semi configuration, for use in offshore analysis

Time	Wind1VelX	Wind1VelY	Wind1VelZ	RotThrust	RotSpeed	GenSpeed	OoPDefl1	IPDefl1	TwstDefl1	BldPitch1	TTDspFA	TTDspSS	TTDspTwst	PtfmSurge	PtfmSway	PtfmHeave	PtfmRoll	PtfmPitch	PtfmYaw	RootFxc1	RootFyc1	RootFzc1	RootMxc1	RootMyc1	RootMzc1	RotTorq	LSSGagMya	LSSGagMza	YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt	RtArea	B1N3Clrnc	B2N3Clrnc	B3N3Clrnc	GenPwr	GenTq
(s)	(m/s)	(m/s)	(m/s)	(kN)	(rpm)	(rpm)	(m)	(m)	(deg)	(deg)	(m)	(m)	(deg)	(m)	(m)	(m)	(deg)	(deg)	(deg)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(m^2)	(m)	(m)	(m)	(kW)	(kN-m)
    0.0000	  9.5669003E+00	 -4.0292807E-02	  1.2661873E-01	  1.9510323E+02	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  3.5273399E+01	 -7.1399325E-01	 -3.9298856E+02	  5.7181034E+00	  4.8804102E+02	 -9.9921965E-07	 -3.3112845E+00	 -7.0199595E+03	 -7.3545792E+01	  1.1710993E+02	 -3.1944901E-01	 -6.4268687E+03	 -4.0017228E+00	 -1.8365323E+03	 -1.0038078E-05	 -1.2779688E+02	  2.4244946E-01	 -1.8625117E+04	 -8.0450459E+00	 -4.0353342E+03	 -1.0038078E-05	  2.4869195E+04	  8.2587799E+01	  6.8830299E+01	  6.8830299E+01	  0.0000000E+00	  0.0000000E+00
    0.5000	  9.6090918E+00	 -6.6035539E-01	 -1.4476302E+00	  3.0418976E+02	  3.5520522E-03	  1.7760260E-01	  6.4606297E-01	 -2.3538724E-02	  0.0000000E+00	  7.5000167E-01	 -1.3883368E-03	  3.0654475E-05	  0.0000000E+00	  1.0152594E-03	 -1.6017051E-05	  1.3613128E-03	  9.4812043E-05	  2.3302422E-03	 -9.7688906E-05	  6.6077507E+01	  2.5396195E-01	 -4.0608029E+02	 -1.1349702E+01	  2.7019844E+03	 -3.5090485E+01	  2.4600780E+01	 -9.9499873E+03	 -8.8886761E+02	  5.5667534E+01	  1.7894168E+00	 -6.8210508E+03	 -6.0996723E+01	 -6.5903179E+03	 -9.2341168E+02	  2.8623796E+01	  5.2347102E+00	 -1.9026770E+04	 -3.8174271E+02	 -2.7866323E+03	 -9.2341412E+02	  2.4913904E+04	  8.2570168E+01	  6.8315369E+01	  6.8328285E+01	  0.0000000E+00	  0.0000000E+00
    1.0000	  8.9067659E+00	 -7.3982352E-01	 -3.7287983E-01	  3.1576129E+02	  2.1126540E-02	  1.0563270E+00	  6.9948137E-01	 -2.4951596E-02	  0.0000000E+00	  7.5000167E-01	  6.9336179E-03	  6.9300782E-05	  0.0000000E+00	  3.7971705E-03	 -2.8963737E-05	  4.7472692E-03	  2.7955836E-04	  8.7088654E-03	 -3.4449378E-04	  6.4784576E+01	 -1.6292230E+00	 -4.0943863E+02	  1.7094276E+01	  2.7491702E+03	 -3.6513657E+01	  2.4076181E+01	 -8.4704355E+03	  9.3751917E+02	  7.6452629E+01	  6.7041349E-01	 -6.5016104E+03	  1.0328506E+02	 -3.9691462E+03	  9.2693146E+02	  9.8212631E+01	  4.8993449E+00	 -1.8714574E+04	 -1.5060367E+02	  4.6600015E+03	  9.2692859E+02	  2.4930715E+04	  8.2568466E+01	  6.8666100E+01	  6.8755768E+01	  0.0000000E+00	  0.0000000E+00
    1.5000	  8.8914080E+00	 -1.0920660E+00	 -1.6392770E+00	  2.8658261E+02	  2.8455259E-02	  1.4227630E+00	  2.8083861E-01	 -1.4126843E-03	  0.0000000E+00	  7.5000167E-01	  1.4113220E-02	 -2.6225802E-04	  0.0000000E+00	  9.5096212E-03	 -3.4488850E-05	  1.0651154E-02	  5.5982237E-04	  2.3201056E-02	 -4.2948729E-04	  5.4751167E+01	 -2.8769295E+00	 -4.0743369E+02	 -9.8794947E+00	  1.6630743E+03	 -3.7698616E+01	 -4.6416596E-01	 -9.5361152E+03	 -1.5443278E+03	  1.3355338E+02	 -8.4054494E-01	 -6.7875225E+03	 -1.3571080E+02	 -5.9251812E+03	 -1.5678047E+03	  2.0760558E+02	 -1.9877874E+00	 -1.8993061E+04	  1.1490054E+02	  1.2977479E+04	 -1.5677812E+03	  2.4887184E+04	  8.2577477E+01	  6.8339417E+01	  6.8474648E+01	  0.0000000E+00	  0.0000000E+00
    2.0000	  1.0153452E+01	 -1.6062468E+00	 -6.2009221E-01	  2.7595883E+02	  3.6409482E-02	  1.8204741E+00	  5.6235886E-01	 -2.2415295E-02	  0.0000000E+00	  7.5000167E-01	 -1.3897917E-02	  4.7815708E-04	  0.0000000E+00	  1.8169245E-02	 -9.0061905E-05	  1.8384399E-02	  1.0616427E-03	  4.5893125E-02	 -9.6645305E-04	  5.8027321E+01	 -4.4775896E+00	 -4.0972916E+02	  8.6120377E+01	  2.4504888E+03	 -3.6643917E+01	  1.2912084E+01	 -8.2479775E+03	  4.7289560E+02	 -1.4043105E+01	  3.3242362E+00	 -6.5237705E+03	  4.3894604E+01	 -4.0815344E+03	  4.5870926E+02	  3.8460548E+01	  5.2682266E+00	 -1.8734436E+04	 -4.3520401E+02	 -4.6836069E+03	  4.5871146E+02	  2.4908266E+04	  8.2572433E+01	  6.8554665E+01	  6.8860504E+01	  0.0000000E+00	  0.0000000E+00
    2.5000	  1.0603859E+01	 -2.0893941E+00	  7.2289634E-01	  3.2534225E+02	  5.0147258E-02	  2.5073628E+00	  4.0582028E-01	 -2.2538097E-03	  0.0000000E+00	  7.5000167E-01	  3.5514538E-03	 -3.2135178E-04	  0.0000000E+00	  2.6281551E-02	 -1.0590840E-04	  2.8205190E-02	  1.5190261E-03	  6.6135183E-02	 -1.4670184E-03	  5.7859550E+01	 -3.0385549E+00	 -4.0792709E+02	 -4.3407768E+01	  2.0394662E+03	 -4.0069946E+01	  5.9114976E+00	 -1.0671016E+04	 -4.3111972E+02	  1.1016640E+02	 -3.1543359E-01	 -6.7743345E+03	 -3.8687939E+01	 -7.0611001E+03	 -5.1648877E+02	  1.7742998E+02	 -1.6270705E+00	 -1.8977512E+04	  1.2843362E+02	  7.8300342E+03	 -5.1649634E+02	  2.4909141E+04	  8.2574974E+01	  6.8126297E+01	  6.8635696E+01	  0.0000000E+00	  0.0000000E+00
    3.0000	  1.0207000E+01	 -2.1506193E+00	  1.9749737E-01	  3.0949252E+02	  6.1140671E-02	  3.0570335E+00	  4.4647706E-01	 -1.8310091E-02	  0.0000000E+00	  7.5000167E-01	  1.9640967E-02	 -1.5261206E-04	  0.0000000E+00	  3.6982033E-02	 -1.9091714E-04	  3.9360266E-02	  2.2416245E-03	  9.3080312E-02	 -2.0580876E-03	  6.9025261E+01	 -7.1894927E+00	 -4.0650430E+02	  1.4551501E+02	  2.4266296E+03	 -3.8617840E+01	  6.4607573E+00	 -7.6579150E+03	  1.4079080E+02	  1.5491798E+02	 -1.0604457E+00	 -6.5347319E+03	  1.6961470E+01	 -3.0443115E+03	  8.8251053E+01	  2.0648218E+02	  1.0235142E+00	 -1.8742186E+04	  2.0616138E+01	  1.6056744E+04	  8.8246964E+01	  2.4897967E+04	  8.2571899E+01	  6.8345062E+01	  6.9058289E+01	  0.0000000E+00	  0.0000000E+00
    3.5000	  1.0950827E+01	 -1.8296785E+00	  8.1157202E-01	  3.1517300E+02	  7.1971603E-02	  3.5985801E+00	  6.9521940E-01	 -3.1047305E-02	  0.0000000E+00	  7.5000167E-01	  2.1218976E-03	 -1.7698067E-04	  0.0000000E+00	  5.1172137E-02	 -3.2023044E-04	  5.2012797E-02	  3.1593340E-03	  1.2995419E-01	 -2.7202072E-03	  7.5170441E+01	 -7.9272051E+00	 -4.0825232E+02	  1.7005789E+02	  3.0903987E+03	 -3.9165928E+01	  6.0224910E+00	 -8.7378916E+03	 -8.8155902E+02	  8.9523270E+01	 -2.8423179E-02	 -6.7517549E+03	 -8.1168961E+01	 -5.1051509E+03	 -9.9561633E+02	  1.6900575E+02	 -2.0212319E+00	 -1.8952480E+04	  6.9327034E+01	  7.7390762E+03	 -9.9561438E+02	  2.4916018E+04	  8.2566849E+01	  6.7927162E+01	  6.8927261E+01	  0.0000000E+00	  0.0000000E+00
    4.0000	  1.0745751E+01	 -9.3812120E-01	  1.6516180E+00	  2.9274612E+02	  8.6526163E-02	  4.3263083E+00	  4.1015527E-01	 -2.0276548E-02	  0.0000000E+00	  7.5000167E-01	 -6.1299098E-03	 -6.8580266E-05	  0.0000000E+00	  6.6227712E-02	 -4.9576187E-04	  6.5417320E-02	  4.2578103E-03	  1.6833198E-01	 -3.6502879E-03	  5.2853127E+01	 -8.7330103E+00	 -4.0819757E+02	  1.7797600E+02	  1.9750630E+03	 -3.7976551E+01	  9.0745802E+00	 -9.1266680E+03	  7.5868420E+02	  5.0553455E+01	  1.5493165E+00	 -6.5593369E+03	  5.8973896E+01	 -4.9323130E+03	  6.1987622E+02	  1.3215501E+02	 -2.2562404E-01	 -1.8762664E+04	 -4.2993271E+01	  2.9339885E+03	  6.1987305E+02	  2.4912254E+04	  8.2575356E+01	  6.7960892E+01	  6.9324448E+01	  0.0000000E+00	  0.0000000E+00
