------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
IEA 15 MW Offshore Reference Turbine
======  Blade Properties =================================================================
50          NumBlNds    - Number of blade nodes used in the analysis (-)
BlSpn	BlCrvAC	BlSwpAC	BlCrvAng	BlTwist	BlChord	BlAFID	BlCb	BlCenBn	BlCenBt
(m)	(m)	(m)	(deg)	(deg)	(m)	(-)	(-)	(m)	(m)
0.00E+00	0.00E+00	0.00E+00	4.39E-01	1.56E+01	5.20E+00	1	0	0	0
2.34E+00	1.79E-02	0.00E+00	5.03E-01	1.56E+01	5.21E+00	2	0	0	0
4.68E+00	4.11E-02	0.00E+00	6.31E-01	1.54E+01	5.24E+00	3	0	0	0
7.02E+00	6.95E-02	0.00E+00	7.34E-01	1.50E+01	5.29E+00	4	0	0	0
9.36E+00	1.01E-01	0.00E+00	7.88E-01	1.43E+01	5.36E+00	5	0	0	0
1.17E+01	1.34E-01	0.00E+00	7.91E-01	1.35E+01	5.44E+00	6	0	0	0
1.46E+01	1.74E-01	0.00E+00	7.33E-01	1.23E+01	5.55E+00	7	0	0	0
1.76E+01	2.09E-01	0.00E+00	6.22E-01	1.10E+01	5.65E+00	8	0	0	0
1.98E+01	2.30E-01	0.00E+00	4.54E-01	1.01E+01	5.71E+00	9	0	0	0
2.20E+01	2.44E-01	0.00E+00	2.59E-01	9.19E+00	5.75E+00	10	0	0	0
2.42E+01	2.50E-01	0.00E+00	8.14E-02	8.43E+00	5.77E+00	11	0	0	0
2.65E+01	2.50E-01	0.00E+00	-5.20E-03	7.78E+00	5.75E+00	12	0	0	0
2.87E+01	2.49E-01	0.00E+00	-3.41E-02	7.18E+00	5.70E+00	13	0	0	0
3.11E+01	2.47E-01	0.00E+00	-5.58E-02	6.53E+00	5.60E+00	14	0	0	0
3.36E+01	2.45E-01	0.00E+00	-7.62E-02	5.89E+00	5.46E+00	15	0	0	0
3.60E+01	2.41E-01	0.00E+00	-9.54E-02	5.29E+00	5.31E+00	16	0	0	0
3.85E+01	2.36E-01	0.00E+00	-1.08E-01	4.73E+00	5.15E+00	17	0	0	0
4.11E+01	2.32E-01	0.00E+00	-1.48E-01	4.20E+00	4.99E+00	18	0	0	0
4.36E+01	2.23E-01	0.00E+00	-2.94E-01	3.73E+00	4.85E+00	19	0	0	0
4.62E+01	2.05E-01	0.00E+00	-5.51E-01	3.31E+00	4.73E+00	20	0	0	0
4.88E+01	1.73E-01	0.00E+00	-8.95E-01	2.92E+00	4.60E+00	21	0	0	0
5.14E+01	1.24E-01	0.00E+00	-1.19E+00	2.56E+00	4.48E+00	22	0	0	0
5.37E+01	7.24E-02	0.00E+00	-1.37E+00	2.26E+00	4.37E+00	23	0	0	0
5.60E+01	1.38E-02	0.00E+00	-1.52E+00	1.98E+00	4.27E+00	24	0	0	0
5.83E+01	-4.96E-02	0.00E+00	-1.59E+00	1.71E+00	4.16E+00	25	0	0	0
6.06E+01	-1.14E-01	0.00E+00	-1.67E+00	1.46E+00	4.06E+00	26	0	0	0
6.29E+01	-1.84E-01	0.00E+00	-1.91E+00	1.22E+00	3.96E+00	27	0	0	0
6.53E+01	-2.70E-01	0.00E+00	-2.25E+00	9.88E-01	3.87E+00	28	0	0	0
6.76E+01	-3.68E-01	0.00E+00	-2.58E+00	7.75E-01	3.77E+00	29	0	0	0
7.00E+01	-4.82E-01	0.00E+00	-2.87E+00	5.75E-01	3.68E+00	30	0	0	0
7.23E+01	-6.04E-01	0.00E+00	-3.07E+00	3.80E-01	3.59E+00	31	0	0	0
7.47E+01	-7.33E-01	0.00E+00	-3.21E+00	1.86E-01	3.50E+00	32	0	0	0
7.69E+01	-8.60E-01	0.00E+00	-3.29E+00	-1.90E-03	3.42E+00	33	0	0	0
7.91E+01	-9.90E-01	0.00E+00	-3.33E+00	-2.03E-01	3.33E+00	34	0	0	0
8.14E+01	-1.12E+00	0.00E+00	-3.43E+00	-4.25E-01	3.24E+00	35	0	0	0
8.36E+01	-1.26E+00	0.00E+00	-3.62E+00	-6.84E-01	3.16E+00	36	0	0	0
8.58E+01	-1.40E+00	0.00E+00	-3.81E+00	-9.82E-01	3.07E+00	37	0	0	0
8.81E+01	-1.55E+00	0.00E+00	-3.97E+00	-1.28E+00	2.98E+00	38	0	0	0
9.03E+01	-1.71E+00	0.00E+00	-4.16E+00	-1.58E+00	2.90E+00	39	0	0	0
9.36E+01	-1.95E+00	0.00E+00	-4.28E+00	-1.94E+00	2.77E+00	40	0	0	0
9.58E+01	-2.12E+00	0.00E+00	-4.42E+00	-2.11E+00	2.68E+00	41	0	0	0
9.80E+01	-2.29E+00	0.00E+00	-4.52E+00	-2.17E+00	2.59E+00	42	0	0	0
1.00E+02	-2.47E+00	0.00E+00	-4.65E+00	-2.18E+00	2.49E+00	43	0	0	0
1.02E+02	-2.65E+00	0.00E+00	-4.81E+00	-2.16E+00	2.40E+00	44	0	0	0
1.05E+02	-2.83E+00	0.00E+00	-4.97E+00	-2.12E+00	2.30E+00	45	0	0	0
1.07E+02	-3.03E+00	0.00E+00	-5.12E+00	-2.05E+00	2.20E+00	46	0	0	0
1.09E+02	-3.23E+00	0.00E+00	-5.27E+00	-1.95E+00	2.09E+00	47	0	0	0
1.11E+02	-3.43E+00	0.00E+00	-5.43E+00	-1.82E+00	1.99E+00	48	0	0	0
1.14E+02	-3.71E+00	0.00E+00	-5.58E+00	-1.57E+00	1.85E+00	49	0	0	0
1.17E+02	-4.00E+00	0.00E+00	-5.67E+00	-1.24E+00	5.00E-01	50	0	0	0
